inchikey,smiles,name,n_papers,papers
BYEAHWXPCBROCE-UHFFFAOYSA-N,FC(F)(F)C(O)C(F)(F)F,"1,1,1,3,3,3-Hexafluoro-2-propanol (…",2,"Rutheniumscpiiscp-catalyzed_chemoselective_deacylative_annulation_of_1,3-diones_with_sulfoxonium_ylides_iviai_CC_bond_ac; ja4c02474"
NAMED__5,,5,2,"Green_synthesis_of_3,4-disubstituted_isoxazol-54H-one_using_Gluconic_acid_aqueous_solution_as_an_efficient_recyclable_me; ol3c02389"
GNBHRKFJIUUOQI-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=O)OC23C4=C(C=C(C=C4)O)OC5=C3C=CC(=C5)O,Fluorescein,2,Dual_goldphotoredox-catalyzed_CspH_arylation_of_terminal_alkynes_with_diazonium_salts; fchem-10-1087834
NAMED__rubpy3pf62,,[Ru(bpy) 3 ](PF 6 ) 2,2,Dual_goldphotoredox-catalyzed_CspH_arylation_of_terminal_alkynes_with_diazonium_salts; ol3c04246
NAMED__3,,3,2,"Green_synthesis_of_3,4-disubstituted_isoxazol-54H-one_using_Gluconic_acid_aqueous_solution_as_an_efficient_recyclable_me; ol3c02389"
HCHKCACWOHOZIP-UHFFFAOYSA-N,[Zn],Zn,2,Nickel-catalyzed_allylic_defluorinative_alkylation_of_trifluoromethyl_alkenes_with_reductive_decarboxylation_of_redox-ac; Visible-light-induced_radical_hydrodifluoromethylation_of_alkenes
UEEXRMUCXBPYOV-UHFFFAOYSA-N,c1ccc(cc1)-c2ccccn2.c1ccc(cc1)-c2ccccn2.c1ccc(cc1)-c2ccccn2.[Ir],fac-Ir(ppy)3,2,Direct_sulfonylation_of_anilines_mediated_by_visible_light; Straightforward_synthesis_of_functionalized_-Lactams_using_impure_CO2_stream_as_the_carbon_source
NAMED__base,,Base,2,"Rutheniumscpiiscp-catalyzed_chemoselective_deacylative_annulation_of_1,3-diones_with_sulfoxonium_ylides_iviai_CC_bond_ac; sc5c11241"
JCYWCSGERIELPG-UHFFFAOYSA-N,CC1=CC(=C(C(=C1)C)N2C=C[N+](=[C-]2)C3=C(C=C(C=C3C)C)C)C,C (protonated NHC),2,Switching_mesoionic_carbene-organocatalysis_from_radical_to_ionic_pathway_through_base-controlled_formation_of_Breslow_i; catalysts-13-01126
NAMED__4,,4*,2,"Diastereoselective_and_enantioselective_photoredox_pinacol_coupling_promoted_by_titanium_complexes_with_a_red-absorbing_; Green_synthesis_of_3,4-disubstituted_isoxazol-54H-one_using_Gluconic_acid_aqueous_solution_as_an_efficient_recyclable_me"
IMNFDUFMRHMDMM-UHFFFAOYSA-N,CCCCCCC,Heptane,2,Synthesis_of_a_polyisobutylene-tagged_fac-Irppysub3sub_complex_and_its_application_as_recyclable_visible-light_photocata; sc5c11241
WGQKYBSKWIADBV-UHFFFAOYSA-N,NCc1ccccc1,benzylamine,2,Borate_esters_as_convenient_reagents_for_direct_amidation_of_carboxylic_acids_and_transamidation_of_primary_amides; Direct_evidence_of_charge_separation_in_a_metalorganic_framework_efficient_and_selective_photocatalytic_oxidative_coupli
WTKZEGDFNFYCGP-UHFFFAOYSA-N,c1cn[nH]c1,2-methoxythiophene,2,Combining_photoredox_catalysis_and_hydrogen_atom_transfer_for_dearomative_functionalization_of_electron_rich_heteroarene; Goto and Ohmiya - 2025 - Distal C–H functionalization of alkoxyarenes through organic photoredox-catalyzed radical–radical co
MUALRAIOVNYAIW-UHFFFAOYSA-N,P(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=C2C=CC=CC2=C1C1=C(P(C2=CC=CC=C2)C2=CC=CC=C2)C=CC2=C1C=CC=C2,rac-BINAP,2,Angew Chem Int Ed - 2019 - Meng - Controllable Isomerization of Alkenes by Dual Visible‐Light‐Cobalt Catalysis; Banerjee et al. - 2022 - Excited‐State Copper Catalysis for the Synthesis of Heterocycles
HPMLGNIUXVXALD-UHFFFAOYSA-N,O=C(F)c1ccccc1,C7H5FO,2,Banjare et al. - 2025 - Radical C─H‐Aroylation of Allenes via Cooperative Photoredox and N ‐Heterocyclic Carbene Cata; Suzuki-type_cross-coupling_of_alkyl_trifluoroborates_with_acid_fluoride_enabled_by_NHCphotoredox_dual_catalysis
QFMZQPDHXULLKC-UHFFFAOYSA-N,C1=CC=C(C=C1)P(CCP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,DPPE,2,Banerjee et al. - 2022 - Excited‐State Copper Catalysis for the Synthesis of Heterocycles; Copper-catalyzed_regio-_and_stereo-selective_hydrosilylation_of_terminal_allenes_to_access_E-allylsilanes
LSXDOTMGLUJQCM-UHFFFAOYSA-M,[Cu]I,Cu(IPr)I,2,Banerjee et al. - 2022 - Excited‐State Copper Catalysis for the Synthesis of Heterocycles; Catalytic_asymmetric_radical_aminoperfluoroalkylation_and_aminodifluoromethylation_of_alkenes_to_versatile_enantioenrich
NKNDPYCGAZPOFS-UHFFFAOYSA-M,[Cu]Br,Cu(IPr)Br,2,Banerjee et al. - 2022 - Excited‐State Copper Catalysis for the Synthesis of Heterocycles; Catalytic_asymmetric_radical_aminoperfluoroalkylation_and_aminodifluoromethylation_of_alkenes_to_versatile_enantioenrich
NSABRUJKERBGOU-UHFFFAOYSA-N,C1=CC=C([C-]=C1)C2=CC=CC=N2.C1=CC=C([C-]=C1)C2=CC=CC=N2.C1=CC=C([C-]=C1)C2=CC=CC=N2.[Ir+3],Ir(ppy)3,2,Banerjee et al. - 2022 - Excited‐State Copper Catalysis for the Synthesis of Heterocycles; ol4c02700
XBWRJSSJWDOUSJ-UHFFFAOYSA-L,Cl[Cr]Cl,CrCl2 (20 mol%),2,"Asymmetric_1,4-functionalization_of_1,3-enynes_via_dual_photoredox_and_chromium_catalysis; Thianthrenium-Enabled_Chromium-Catalyzed_Deuterated_Alkyl_Addition_to_Aldehydes_via_Photoactive_Electron_Donor-Acceptor_"
YQHJFPFNGVDEDT-UHFFFAOYSA-N,CC(C)(C)N=C(N(C)C)N(C)C,btmg (1 equivalent),2,Angiolini_ChemCatChem_10.1002_cctc.202500240; Bárbara et al. - 2025 - Protecting group-free photocatalyzed O-arylation of quinic acid
KKMWMXQQOIIJIZ-UHFFFAOYSA-N,[B-](F)(F)(F)F.CC1=CC(=C(C(=C1)C)C2=C3C=CC=CC3=[N+](C4=CC=CC=C42)C)C,10 : 1 acetone/H 2 O,2,Angiolini_ChemCatChem_10.1002_cctc.202500240; Direct_sulfonylation_of_anilines_mediated_by_visible_light
UGOMMVLRQDMAQQ-UHFFFAOYSA-N,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,X-Phos,2,Angew Chem Int Ed - 2019 - Meng - Controllable Isomerization of Alkenes by Dual Visible‐Light‐Cobalt Catalysis; Selective_single_CF_bond_arylation_of_trifluoromethylalkene_derivatives
BCJVBDBJSMFBRW-UHFFFAOYSA-N,C1=CC=C(C=C1)P(CCCCP(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,DPPB,2,Angew Chem Int Ed - 2019 - Meng - Controllable Isomerization of Alkenes by Dual Visible‐Light‐Cobalt Catalysis; Copper-catalyzed_regio-_and_stereo-selective_hydrosilylation_of_terminal_allenes_to_access_E-allylsilanes
NFRYVRNCDXULEX-UHFFFAOYSA-N,c1ccc(cc1)P(c2ccccc2)c3ccccc3P(c4ccccc4)c5ccccc5,DPPBZ,2,Angew Chem Int Ed - 2019 - Meng - Controllable Isomerization of Alkenes by Dual Visible‐Light‐Cobalt Catalysis; Copper-catalyzed_regio-_and_stereo-selective_hydrosilylation_of_terminal_allenes_to_access_E-allylsilanes
CNXMDTWQWLGCPE-UHFFFAOYSA-N,CC(C)(C)P(c1ccccc1-c1ccccc1)C(C)(C)C,JohnPhos,2,Angew Chem Int Ed - 2019 - Meng - Controllable Isomerization of Alkenes by Dual Visible‐Light‐Cobalt Catalysis; Catalytic_direct_hydrocarboxylation_of_styrenes_with_CO2_and_H2
CHIHQLCVLOXUJW-UHFFFAOYSA-N,O=C(OC(=O)c1ccccc1)c1ccccc1,benzoic anhydride,2,"Banjare et al. - 2025 - Radical C─H‐Aroylation of Allenes via Cooperative Photoredox and N ‐Heterocyclic Carbene Cata; NHC_and_visible_light-mediated_photoredox_co-catalyzed_1,4-sulfonylacylation_of_1,3-enynes_for_tetrasubstituted_allenyl_"
VNWKTOKETHGBQD-UHFFFAOYSA-N,C,DIPEA,2,"Angew Chem Int Ed - 2019 - Meng - Controllable Isomerization of Alkenes by Dual Visible‐Light‐Cobalt Catalysis; Brambilla et al. - 2023 - Synthesis of Indole‐Fused 1,4‐Diazepinones via Photoredox‐Catalyzed Cascade Cyclization Reaction"
LFMBERYWDLWXNO-UHFFFAOYSA-M,CC1=CC(=C(C(=C1)C)C2=C3C=CC=CC3=[N+](C4=CC=CC=C42)C)C.[O-]Cl(=O)(=O)=O,Acr+-Mes ClO4,2,Accessing_chiral_sulfones_bearing_quaternary_carbon_stereocenters_via_photoinduced_radical_sulfur_dioxide_insertion_and_; Photo-induced_oxidant-free_oxidative_CHNH_cross-coupling_between_arenes_and_azoles
JVBXVOWTABLYPX-UHFFFAOYSA-L,O=S([O-])S(=O)[O-].[Na+].[Na+],Na2S2O4,2,Accessing_chiral_sulfones_bearing_quaternary_carbon_stereocenters_via_photoinduced_radical_sulfur_dioxide_insertion_and_; ol5c01129
JNCLVGMBRSKDED-UHFFFAOYSA-N,F[B-](F)(F)F.N#[N+]c1ccccc1,Ar-N2BF4,2,Accessing_chiral_sulfones_bearing_quaternary_carbon_stereocenters_via_photoinduced_radical_sulfur_dioxide_insertion_and_; Dual_goldphotoredox-catalyzed_CspH_arylation_of_terminal_alkynes_with_diazonium_salts
HVAPLSNCVYXFDQ-UHFFFAOYSA-N,CC1(C2=CC=CC=C2I(O1)C(F)(F)F)C,C10H10F3IO,2,Access_to_a_new_class_of_synthetic_building_blocks_via_trifluoromethoxylation_of_pyridines_and_pyrimidines; Angiolini_ChemCatChem_10.1002_cctc.202500240
KFZMGEQAYNKOFK-UHFFFAOYSA-N,CC(C)O,Isopropanol (i-PrOH),2,"Abdiaj - Improving the throughput of batch photochemical reactions using flow Dual photoredox and nickel cat; Rutheniumscpiiscp-catalyzed_chemoselective_deacylative_annulation_of_1,3-diones_with_sulfoxonium_ylides_iviai_CC_bond_ac"
OEBXWWBYZJNKRK-UHFFFAOYSA-N,CN1CCCN2C1=NCCC2,Me-TBD,2,Abdiaj - Improving the throughput of batch photochemical reactions using flow Dual photoredox and nickel cat; jo2c02952
VHYFNPMBLIVWCW-UHFFFAOYSA-N,CN(C)C1=CC=NC=C1,DMAP,2,Abdiaj - Improving the throughput of batch photochemical reactions using flow Dual photoredox and nickel cat; Tunable_CH_functionalization_and_dearomatization_enabled_by_an_organic_photocatalyst
ZQEBQGAAWMOMAI-UHFFFAOYSA-N,CC(C)(C)OC(=O)N1CCCC1C(=O)O,C10H17NO4,2,Abdiaj - Improving the throughput of batch photochemical reactions using flow Dual photoredox and nickel cat; ol4c02700
LPNBBFKOUUSUDB-UHFFFAOYSA-N,Cc1ccc(C(=O)O)cc1,C8H8O2,2,A_general_deoxygenation_approach_for_synthesis_of_ketones_from_aromatic_carboxylic_acids_and_alkenes; Photodehydrogenation_of_alcohols_catalysed_by_a_single_ruthenium_N-Heterocyclic_carbene_complex
NLZUEZXRPGMBCV-UHFFFAOYSA-N,CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,3 eq. BHT,2,A_chiral_nickel_DBFOX_complex_as_a_bifunctional_catalyst_for_visible-light-promoted_asymmetric_photoredox_reactions; Yin et al. - 2020 - Photoredox Catalytic Trifluoromethylation and Perfluoroalkylation of Arenes Using Trifluoroacetic an
NAMED__irppy3,,[Ir(ppy)3],2,Banjare et al. - 2025 - Radical C─H‐Aroylation of Allenes via Cooperative Photoredox and N ‐Heterocyclic Carbene Cata; Visible-light-mediated_Minisci_CH_alkylation_of_heteroarenes_with_unactivated_alkyl_halides_using_Osub2sub_as_an_oxidant
RMESWYTZUADOFK-UHFFFAOYSA-N,O=C(c1ccccc1)N1C(=O)c2ccccc2S1(=O)=O,C14H9NO4S,2,"Banjare et al. - 2025 - Radical C─H‐Aroylation of Allenes via Cooperative Photoredox and N ‐Heterocyclic Carbene Cata; Visible_light-mediated_organocatalyzed_1,3-aminoacylation_of_cyclopropane_employing_N-benzoyl_saccharin_as_bifunctional_"
PWHULOQIROXLJO-UHFFFAOYSA-N,[Mn],Mn (in situ reductant),2,ChromiumCatalyzed_PinacolType_CrossCoupling_Studies_on_Stereoselectivity; Nickel-catalyzed_allylic_defluorinative_alkylation_of_trifluoromethyl_alkenes_with_reductive_decarboxylation_of_redox-ac
XKJBTCGUBJEATL-UHFFFAOYSA-N,CN(C)C(=NC1CCCCC1)NC1CCCCC1.CN(C)C(=NC1CCCCC1)NC1CCCCC1,amine,2,CH_functionalization_of_amines_with_aryl_halides_by_nickel-photoredox_catalysis; Photo-induced_oxidant-free_oxidative_CHNH_cross-coupling_between_arenes_and_azoles
NAMED__phcf3,,PhCF 3,2,"Catalytic_intramolecular_aminoarylation_of_unactivated_alkenes_with_aryl_sulfonamides; Visible_light-mediated_organocatalyzed_1,3-aminoacylation_of_cyclopropane_employing_N-benzoyl_saccharin_as_bifunctional_"
DRNAQRXLOSUHBQ-UHFFFAOYSA-N,C1(CCCCC1)P(C1=C(C=CC=C1)C1=C(C=CC=C1N(C)C)N(C)C)C1CCCCC1,C-Phos,2,Catalytic_direct_hydrocarboxylation_of_styrenes_with_CO2_and_H2; Selective_single_CF_bond_arylation_of_trifluoromethylalkene_derivatives
NUMHUJZXKZKUBN-UHFFFAOYSA-N,C=Cc1ccc(C(=O)OC)cc1,C10H10O2,2,Catalytic_direct_hydrocarboxylation_of_styrenes_with_CO2_and_H2; Photoredox-catalyzed_dicarbofunctionalization_of_styrenes_with_amines_and_COsub2sub_a_convenient_access_to_-amino_acids
CQLFBEKRDQMJLZ-UHFFFAOYSA-M,CC(=O)[O-].[Ag+],AgOAc,2,Catalytic_asymmetric_radical_aminoperfluoroalkylation_and_aminodifluoromethylation_of_alkenes_to_versatile_enantioenrich; Silverchiral_pyrrolidinopyridine_relay_catalytic_cycloisomerization2  3_cycloadditions_of_enynamides_to_asymmetrically_s
UIIMBOGNXHQVGW-UHFFFAOYSA-M,C(=O)(O)[O-].[Na+],NaHCO3 (sodium bicarbonate),2,"Catalytic_asymmetric_radical_aminoperfluoroalkylation_and_aminodifluoromethylation_of_alkenes_to_versatile_enantioenrich; Rutheniumscpiiscp-catalyzed_chemoselective_deacylative_annulation_of_1,3-diones_with_sulfoxonium_ylides_iviai_CC_bond_ac"
NAMED__na2co3,,Na 2 CO 3,2,Catalytic_N-radical_cascade_reaction_of_hydrazones_by_oxidative_deprotonation_electron_transfer_and_TEMPO_mediation; ol3c02389
HEMHJVSKTPXQMS-UHFFFAOYSA-M,[OH-].[Na+],NaOH,2,Catalytic_N-radical_cascade_reaction_of_hydrazones_by_oxidative_deprotonation_electron_transfer_and_TEMPO_mediation; Photodehydrogenation_of_alcohols_catalysed_by_a_single_ruthenium_N-Heterocyclic_carbene_complex
NAMED__pc,,[PC],2,Carbene_and_photocatalyst-catalyzed_decarboxylative_radical_coupling_of_carboxylic_acids_and_acyl_imidazoles_to_form_ket; sc5c11241
NAMED__nicod2,,Ni(COD) 2,2,CH_functionalization_of_amines_with_aryl_halides_by_nickel-photoredox_catalysis; Nickel-catalyzed_cyclization_of_alkyne-nitriles_with_organoboronic_acids_involving_anti-carbometalation_of_alkynes
YOCRKHKJFCWTHG-UHFFFAOYSA-N,O1C(=NCC1)C1=NC(=CC=C1)C=1OCCN1,PyBox,2,CH_functionalization_of_amines_with_aryl_halides_by_nickel-photoredox_catalysis; Nickel-catalyzed_allylic_defluorinative_alkylation_of_trifluoromethyl_alkenes_with_reductive_decarboxylation_of_redox-ac
DRGAZIDRYFYHIJ-UHFFFAOYSA-N,C1=CC=NC(=C1)C2=NC(=CC=C2)C3=CC=CC=N3,terpy 0,2,CH_functionalization_of_amines_with_aryl_halides_by_nickel-photoredox_catalysis; Nickel-catalyzed_transamidation_of_aliphatic_amide_derivatives
LPNYRYFBWFDTMA-UHFFFAOYSA-N,CC(C)(C)[O-].[K+],t-BuOK,2,Bárbara et al. - 2025 - Protecting group-free photocatalyzed O-arylation of quinic acid; sc5c11241
IMFACGCPASFAPR-UHFFFAOYSA-N,CCCCN(CCCC)CCCC,Tributylamine (Bu3N),2,Baussière and Haugland - 2023 - Radical Group Transfer of Vinyl and Alkynyl Silanes Driven by Photoredox Catalysis; Synthesis_of_a_polyisobutylene-tagged_fac-Irppysub3sub_complex_and_its_application_as_recyclable_visible-light_photocata
NBPGPQJFYXNFKN-UHFFFAOYSA-N,CC1=CC(=NC=C1)C2=NC=CC(=C2)C,"dmbpy (4,4'-dimethyl-2,2'-bipyridin…",2,Bárbara et al. - 2025 - Protecting group-free photocatalyzed O-arylation of quinic acid; Calogero et al. - 2022 - A Photoredox Nozaki‐Hiyama Reaction Catalytic in Chromium
XKJCHHZQLQNZHY-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=O)NC2=O,phthalimide (1 equivalent),2,Bárbara et al. - 2025 - Protecting group-free photocatalyzed O-arylation of quinic acid; ol3c02389
NAMED__et3n,,Et 3 N,2,"Brambilla et al. - 2023 - Synthesis of Indole‐Fused 1,4‐Diazepinones via Photoredox‐Catalyzed Cascade Cyclization Reaction; Suzuki-type_cross-coupling_of_alkyl_trifluoroborates_with_acid_fluoride_enabled_by_NHCphotoredox_dual_catalysis"
DBZJJPROPLPMSN-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=O)OC23C4=CC(=C(C(=C4OC5=C(C(=C(C=C35)Br)O)Br)Br)O)Br,Eosin Y,2,"Brambilla et al. - 2023 - Synthesis of Indole‐Fused 1,4‐Diazepinones via Photoredox‐Catalyzed Cascade Cyclization Reaction; catalysts-13-01007-v2"
BMRRDFCQNOZNNR-UHFFFAOYSA-N,CN1CCN(CC1)C2=CC3=C(C=C2)N=C(N3)C4=CC5=C(C=C4)N=C(N5)C6=CC(=C(C=C6)OC)OC,DMA,2,Boselli et al. - 2023 - Enantioselective Catalytic Addition of N‐Acyl Radicals In Batch and In Flow Organophotoredox α‐Amin; Fan et al. - 2023 - PhotoredoxHAT dual-catalyzed carboxylation of benzyl chlorides with CO2 using thiophenolate and for
KGBXLFKZBHKPEV-UHFFFAOYSA-N,B(O)(O)O,H3BO3,2,Borate_esters_as_convenient_reagents_for_direct_amidation_of_carboxylic_acids_and_transamidation_of_primary_amides; Palladium-catalyzed_thiocarbonylation_of_alkenes_toward_branched_thioesters_using_COsub2sub
WLJVXDMOQOGPHL-UHFFFAOYSA-N,O=C(O)Cc1ccccc1,Ph-COOH,2,Borate_esters_as_convenient_reagents_for_direct_amidation_of_carboxylic_acids_and_transamidation_of_primary_amides; jo2c02952
HEDRZPFGACZZDS-UHFFFAOYSA-N,C(Cl)(Cl)Cl,Chloroform (CHCl3),2,"Bond_cleavage,_fragment_modification_and_reassembly_in_enantioselective_three-component_reactions; Silverchiral_pyrrolidinopyridine_relay_catalytic_cycloisomerization2  3_cycloadditions_of_enynamides_to_asymmetrically_s"
VMHLLURERBWHNL-UHFFFAOYSA-M,CC(=O)[O-].[Na+],NaOAc,2,Bhaskar Pal et al. - 2023 - Stereospecific Photoredox‐Catalyzed Vinylations to Functionalized Alkenes and C ‐Glycosides; Suzuki-type_cross-coupling_of_alkyl_trifluoroborates_with_acid_fluoride_enabled_by_NHCphotoredox_dual_catalysis
NAMED__csoac,,CsOAc,2,"Bhaskar Pal et al. - 2023 - Stereospecific Photoredox‐Catalyzed Vinylations to Functionalized Alkenes and C ‐Glycosides; NHC_and_visible_light-mediated_photoredox_co-catalyzed_1,4-sulfonylacylation_of_1,3-enynes_for_tetrasubstituted_allenyl_"
OYNJAUIAADXAOW-UHFFFAOYSA-N,C1=CC=CC=2C3=CC=CC=C3N(C12)C1=C(C(=C(C(=C1C#N)N1C2=CC=CC=C2C=2C=CC=CC12)N1C2=CC=CC=C2C=2C=CC=CC12)C#N)N1C2=CC=CC=C2C=2C=CC=CC12,4CzPN,2,Bhaskar Pal et al. - 2023 - Stereospecific Photoredox‐Catalyzed Vinylations to Functionalized Alkenes and C ‐Glycosides; d2ra07064b
KFZUDNZQQCWGKF-UHFFFAOYSA-M,Cc1ccc(S(=O)[O-])cc1.[Na+],C7H7NaO2S,2,ol4c02700; ol5c01129
